Alector, Sovereign of Birds|Alector, Soberano dos Pássaros
Angel 07|Anjo 07
Barrier Statue of the Heavens|Estátua Barreira dos Céus

Beatrice, Lady of the Eternal|Beatriz, a Dama Eterna

Armageddon Knight|Cavaleiro do Armagedom
Breaker the Magical Warrior|Breaker, o Guerreiro Mágico
Denko Sekka
Destrudo the Lost Dragon's Frisson|Destrudo, o Frisson do Dragão Perdido
Fossil Dyna Pachycephalo|Fossil Dina Pachycephalo
Gameciel, the Sea Turtle Kaiju|Gameciel, o Kaiju Tartaruga Marinha
Gorz the Emissary of Darkness|Gorz, o Emissário da Escuridão
Inspector Boarder|Inspetor Prancha
Neo-Spacian Grand Mole|Grande Toupeira Neoespacial
PSY-Frame Driver|PSÍ-Armação Condutor
Purple Poison Magician|Mago de Veneno Púrpura
senju of the thousand hands|Senju das Mil Mãos
Spirit Reaper|Ceifeiro de Espíritos
Supreme King Dragon Darkwurm|Rei Supremo Dragão Wurmescuro
Thunder King Rai-Oh|Rei do Trovão Rai-Oh

Ash Blossom & Joyous Spring|Florescer de Cinzas & Primavera Feliz
Ghost Belle & Haunted Mansion|Fantasma Belle & Mansão Assombrada
Ghost Ogre & Snow Rabbit|Ogro Fantasma & Coelho da Neve
Ghost Reaper & Winter Cherries|Ceifador Fantasma & Cerejas de Inverno
PSY-Framegear Gamma|PSÍ-Armação Equipamento Gama

Called by the Grave
Card of Demise|Despedida Final
monster reborn|Reviver Monstro
My Body as a Shield|O Meu Corpo como Escudo
pot of acquisitiveness|Pote da Aquisitividade
raigeki
Scapegoat|Bode Expiatório
Shared Ride|Carona

Elder Entity N'tss|Entidade Anciã N'tss
Sea Monster of Theseus|Monstro Marinho de Teseu

Ally of Justice Catastor|Catastor, Aliado da Justiça
Black Rose Dragon|Dragão da Rosa Negra

Anti-Spell Fragrance|Fragrância Anti-Magia
Drowning Mirror Force|Força do Espelho do Afogamento
evenly matched|Confronto Justo
Lost Wind|Vento Perdido
Heavy Storm Duster|Tempestade Pesada de Pó
Infinite Impermanence
Skill Drain|Drenar Habilidades
Solemn Strike|Golpe Solene
Storming mirror force|Força do Espelho Tempestuosa
Switcheroroo|Reveseróiroo
Trap Stun|Atordoar Armadilha
Urgent Ritual Art|Arte Ritual Urgente
Waking the Dragon

diamond dire wolf|Lobo Voraz de Diamante
gagaga cowboy|Cowboy Gagaga
Number 41: Bagooska the Terribly Tired Tapir|Número 41: Bagooska, a Anta Terrivelmente Cansada
tornado dragon|Dragão Tornado

Borreload Dragon|Dragão Callibregado
Firewall Dragon|Dragão Firewall
Proxy Dragon|Proxy Dragon
PSY-Framelord Omega|PSÍ-Armação Senhor Omega
Saryuja Skull Dread|Caveira Ameaçadora Saryuja
topologic bomber dragon|Dragão Bomba Topológica

Ariel, Priestess of the Nekroz|Ariel, a Sacerdotisa de Necroz
Dance princess of the nekroz|Princesa da Dança de Necroz
Great sorcerer of the nekroz|Grande Feiticeiro de Necroz
SHURIT, STRATEGIST OF THE NEKROZ|SHURIT, STRATEGIST OF THE NEKROZ

Nekroz of brionac|Necroz de Brionac
Nekroz of Catastor|Necroz de Catastor
Nekroz of clausolas|Necroz de Clausolas
Nekroz of decisive armor|Necroz da Armadura Decisiva
Nekroz of gungnir|Necroz de Gungnir
Nekroz of Sophia|Necroz de Sofia
Nekroz of trishula|	Necroz de Trishula
Nekroz of Unicore|Necroz de Unicore
Nekroz of valkyrus|Necroz de Valkyrus

Nekroz cycle|Ciclo Necroz
Nekroz kaleidoscope|Caleidoscópio Necroz
Nekroz mirror|Espelho Necroz

clear wing synchro dragon|Dragão Sincro de Asas Transparentes
Herald of the Arc Light|Arauto do Arco de Luz
shooting quasar dragon|Dragão da Explosão Quasar
Shooting Star Dragon|Dragão da Explosão Estelar
star eater|Comedor de Estrelas

Bahamut Shark|Tubarão Bahamut
Inzektor Exa-Beetle
Toadally Awesome|Rãalmente Demais

Barrier Statue of the Abyss|Estátua Barreira do Abismo
Eater of Millions|Comedor de Milhões
Grinder Golem
Jizukiru, the Star Destroying Kaiju|Jizukiru, o Kaiju Destruidor de Estrelas
Mystic Piper
Predaplant Ophrys Scorpio|Predaplanta Escorpião Ophrys
Shaddoll Dragon|Dragão Sombraneco
Spirit Reaper|Ceifeiro de Espíritos

Interrupted Kaiju Slumber|Sono Kaiju Interrompido
Invocation|Invokação
Pot of Avarice|Pote da Avarice

Dark Renewal|Renovação Negra

Akashic Magician|Mago Akáshico
