Moulinglacia the Elemental Lord|Moulinglacia, o Senhor Elemental

Ash Blossom & Joyous Spring|Florescer de Cinzas & Primavera Feliz
Droll & Lock Bird|Droll & Pássaro Fechadura
Ghost Belle & Haunted Mansion|Fantasma Belle & Mansão Assombrada

Card of Demise|Despedida Final
Invocation|Invokação

evenly matched|Confronto Justo
Infinite Impermanence

Invoked Mechaba|Mechaba, o Invokado

Borreload Dragon|Dragão Callibregado
Firewall Dragon|Dragão Firewall
Saryuja Skull Dread|Caveira Ameaçadora Saryuja
topologic bomber dragon|Dragão Bomba Topológica
tornado dragon|Dragão Tornado
