Banisher of the Radiance|Banidor da Luz
Destrudo the Lost Dragon's Frisson|Destrudo, o Frisson do Dragão Perdido
Fossil Dyna Pachycephalo|Fossil Dina Pachycephalo
Gameciel, the Sea Turtle Kaiju|Gameciel, o Kaiju Tartaruga Marinha
Gorz the Emissary of Darkness|Gorz, o Emissário da Escuridão
Inspector Boarder|Inspetor Prancha
PSY-Frame Driver|PSÍ-Armação Condutor
senju of the thousand hands|Senju das Mil Mãos
Thunder King Rai-Oh|Rei do Trovão Rai-Oh

Ash Blossom & Joyous Spring|Florescer de Cinzas & Primavera Feliz
D.D. Crow|D.D. Corvo
Droll & Lock Bird|Droll & Pássaro Fechadura
Ghost Belle & Haunted Mansion|Fantasma Belle & Mansão Assombrada
Ghost Ogre & Snow Rabbit|Ogro Fantasma & Coelho da Neve
Ghost Reaper & Winter Cherries|Ceifador Fantasma & Cerejas de Inverno

Called by the Grave
Card of Demise|Despedida Final
Magical Spring|Fonte Mágica
My Body as a Shield|O Meu Corpo como Escudo
raigeki
Scapegoat|Bode Expiatório
Shared Ride|Carona
Twin Twisters|Tornados Gêmeos

Elder Entity N'tss|Entidade Anciã N'tss

Black Rose Dragon|Dragão da Rosa Negra

evenly matched|Confronto Justo
Lost Wind|Vento Perdido
Heavy Storm Duster|Tempestade Pesada de Pó
Infinite Impermanence
Solemn Strike|Golpe Solene
Storming mirror force|Força do Espelho Tempestuosa
Switcheroroo|Reveseróiroo
Urgent Ritual Art|Arte Ritual Urgente
Waking the Dragon

gagaga cowboy|Cowboy Gagaga
Bagooska the Terribly Tired Tapir|Bagooska, a Anta Terrivelmente Cansada
tornado dragon|Dragão Tornado

Borreload Dragon|Dragão Callibregado
Triple Burst Dragon|Dragão das Três Explosões
Firewall Dragon|Dragão Firewall
Proxy Dragon|Proxy Dragon
PSY-Framelord Omega|PSÍ-Armação Senhor Omega
Saryuja Skull Dread|Caveira Ameaçadora Saryuja
topologic bomber dragon|Dragão Bomba Topológica
