Alector, Sovereign of Birds|Alector, Soberano dos Pássaros
Armageddon Knight|Cavaleiro do Armagedom
Banisher of the Radiance|Banidor da Luz
Barrier Statue of the Heavens|Estátua Barreira dos Céus
Breaker the Magical Warrior|Breaker, o Guerreiro Mágico
Inspector Boarder|Inspetor Prancha
Neo-Spacian Grand Mole|Grande Toupeira Neoespacial
Purple Poison Magician|Mago de Veneno Púrpura
Windwitch - Ice Bell|Ventobruxa - Sino de Gelo
Windwitch - Glass Bell|Ventobruxa - Sino de Vidro
Windwitch - Snow Bell|Ventobruxa - Sino de Neve

Supreme King Dragon Darkwurm|Rei Supremo Dragão Wurmescuro

monster reborn|Reviver Monstro
Pot of Avarice|Pote da Avarice
Twin Twisters|Tornados Gêmeos

Anti-Spell Fragrance|Fragrância Anti-Magia
Skill Drain|Drenar Habilidades
Summon Limit|Limitar Invocação
Trap Stun|Atordoar Armadilha

Daigusto Emeral
Evilswarm Exciton Knight|Hordeum Maligno Cavaleiro Exciton
Hope Harbinger Dragon Titanic Galaxy|Dragão Titã da Galáxia Arauto da Esperança
Lavalval Chain|Corrente Lavalval

Atomic Scrap Dragon
Beelze of the Diabolic Dragons|Belze dos Dragões Diabólicos
Herald of the Arc Light|Arauto do Arco de Luz
Trishula, Dragon of the Ice Barrier|Trishula, o Dragão da Barreira de Gelo

Akashic Magician|Mago Akáshico
