Artifact Lancea|Artefato Lança do Destino
Tsukuyomi
Windwitch - Ice Bell|Ventobruxa - Sino de Gelo
Windwitch - Glass Bell|Ventobruxa - Sino de Vidro
Windwitch - Snow Bell|Ventobruxa - Sino de Neve

Nekroz cycle|Ciclo Necroz

Blue-Eyes Ultimate Dragon|Dragão Supremo de Olhos Azuis
Infernoid Tierra|Infernoide Tierra

Atomic Scrap Dragon
Beelze of the Diabolic Dragons|Belze dos Dragões Diabólicos
Crystal Wing Synchro Dragon|Dragão Sincro de Asas de Cristal
Herald of the Arc Light|Arauto do Arco de Luz
Shooting Star Dragon|Dragão da Explosão Estelar
star eater|Comedor de Estrelas
T.G. Halberd Cannon|T.G. Canhão Alabarda
Trishula, Dragon of the Ice Barrier|Trishula, o Dragão da Barreira de Gelo
Windwitch - Winter Bell|Ventobruxa - Sino do Inverno

Bahamut Shark|Tubarão Bahamut
Phantom Fortress Enterblathnir|Fortaleza Fantasma Enterblathnir
Hope Harbinger Dragon Titanic Galaxy|Dragão Titã da Galáxia Arauto da Esperança
Toadally Awesome|Rãalmente Demais
True King of All Calamities|Verdadeiro Rei de Todas as Calamidades

Mistar Boy|Mistar Menino Estrela
